id,first_name,rank,pct,census_trash
116,"Madison",406646,1.314379091396448,16.8154
117,"Dylan",406439,96.32244937124636,18.0141
118,"Alexis",401874,16.024525099906935,22.2793
119,"Sean",401866,99.29727819721002,34.5809
120,"Peter",401766,99.6590054907583,48.8549
121,"Terry",399076,80.10779901572633,59.0717
122,"Jerry",393541,97.69630102073228,60.4417
123,"Catherine",392534,0.23702303494729116,51.5409
124,"Abigail",391694,0.16624176014950445,17.2827
125,"Logan",391074,92.55844162485872,15.4101
126,"Janet",384058,0.24315051372448956,64.8135
127,"Sophia",382542,0.12392495464550299,13.3594
128,"Carolyn",380139,0.25010746069201006,64.5015
129,"Raymond",379712,99.48197581324794,54.1705
130,"Isabella",374329,0.11493605892143006,11.979
131,"Cheryl",372697,0.20707947743072794,61.5104
132,"Betty",372408,0.2920291723056433,74.2431
133,"Gabriel",367387,98.20570678875409,19.851
134,"Frank",365796,99.48905947577337,56.9752
135,"Henry",365155,99.50103380756117,35.7123
136,"Amber",363866,0.25765501585748596,33.0536
137,"Danielle",361795,0.49836233225998144,33.7983
138,"Bryan",358426,99.53881693850334,35.9498
139,"Sara",354943,0.27618631723966947,37.366
140,"Brittany",354178,0.29396235791042924,30.5619
141,"Keith",351305,99.4799390842715,50.5836
142,"Teresa",349712,0.2637049915358924,55.916
143,"Natalie",346631,0.20132994452313843,25.8577
144,"Jacqueline",346126,0.3119759856237324,48.0961
145,"Shirley",341428,0.6426655107372564,72.4607
146,"Kayla",339307,0.1651498495462811,24.5993
147,"Angel",337520,71.68138184403887,22.2846
148,"Jamie",336729,23.640939746799354,39.6889
149,"Jesse",334683,96.82087228810546,36.0257
150,"Elijah",333109,99.6361551324041,13.7039
151,"Denise",332502,0.3544339582919802,55.1535
152,"Tiffany",329783,0.3426920126264847,35.7575
153,"Shannon",329525,14.27448600257947,41.9649
154,"Kathryn",323061,0.23622380912583074,47.9232
155,"Juan",321045,99.28172063106419,31.0404
156,"Cameron",320473,90.68345851288564,20.0958
157,"Mason",318009,99.01606558304954,12.9426
158,"Crystal",316921,0.34923214302618,38.7326
159,"Shawn",314460,90.29956115245183,41.09
160,"Erin",313903,2.7922925234865548,35.6299
161,"Julia",313498,0.313024963476641,35.9539
162,"Diana",312769,0.34876218551071236,49.0407
163,"Lori",312602,0.23784108866865852,54.5638
164,"Judith",310853,0.2264086240119928,68.9066
165,"Ava",309574,0.10264654008411558,11.4256
166,"Alyssa",308454,0.1369309524272663,22.5681
167,"Tammy",307196,0.3961314600450527,53.7612
168,"Allison",305017,0.5921997790287099,27.7921
169,"Grace",303451,0.17971896615928107,25.6126
170,"Caleb",301951,99.79201923490898,17.574
171,"Joyce",301574,0.3331122709517399,68.9507
172,"Evelyn",300032,0.2660862841296928,35.4998
173,"Leslie",298094,17.972585828631235,47.3519
174,"Robin",297088,12.274713216286083,54.8174
175,"Lucas",293806,99.82981967692967,15.2503
176,"Liam",292376,99.84574657290612,8.32402
177,"Charlotte",291937,0.1333900807365973,31.4246
178,"Luke",290234,99.81428778158313,18.0823
179,"Janice",288297,0.24112911337960505,66.4906
180,"Dorothy",285361,0.2747050227606435,71.8409
181,"Travis",284951,99.38234994788577,35.1187
182,"Tracy",284934,17.944541542953807,50.7119
183,"Cody",284863,98.27144978463332,27.5046
184,"Kathy",284764,0.20376838364399996,61.3914
185,"Isaac",283053,99.75410965437568,18.51
186,"Bradley",282566,99.38067566515434,39.2492
187,"Judy",279431,0.24457093164323215,68.2217
188,"Randy",276588,98.46486470851953,53.6177
189,"Theresa",276337,0.27376428057046287,58.0458
190,"Alan",275996,99.66195162248728,46.9376
191,"Roger",274951,99.58974508185095,60.4212
192,"Mia",273174,0.1239601865477681,12.3691
193,"Evan",273113,98.40432348515084,21.0652
194,"Courtney",272225,7.409716227385434,32.028
195,"Ann",271448,0.24436282455571598,62.0388
196,"Carlos",270558,99.34468764553257,30.7871
197,"Luis",266595,99.47035765862076,27.11
198,"Jackson",266585,99.7336684359585,13.1331
199,"Tina",265573,0.30211203699171224,52.3174
200,"Bruce",262057,99.63977302647898,59.7527
201,"Dawn",261454,0.3229654164786157,53.3837
202,"Hunter",261085,94.92502441733535,16.8086
203,"Vincent",258049,99.59813833806757,37.818
204,"Jayden",258042,91.61880624084452,10.9645
205,"Adrian",257417,94.40324454095884,22.6274
206,"Brianna",257195,0.16529792569840004,20.9807
207,"Morgan",254582,14.615133827214807,23.6222
208,"Joan",252873,2.247131959521183,71.1464
209,"Jasmine",251560,0.486134520591509,23.3344
210,"Alex",250899,96.32601166206321,27.202
211,"Craig",250427,99.63542269803176,52.1807
212,"Vanessa",250168,0.37113779540149017,33.3832
213,"Todd",249690,99.60230686050703,50.3431
214,"Virginia",247358,0.26394052345183905,64.4322
215,"Gloria",246750,0.3770147922998987,63.9234
216,"Martha",246329,0.3256295442274357,64.0766
217,"Nathaniel",244643,99.60146008673864,27.4619
218,"Melanie",243332,0.2369375996580803,35.8293
219,"Carl",241449,99.30461505328248,57.5567
220,"Valerie",239926,0.2509340379950485,44.3754
221,"Wendy",239884,0.35459722199062876,50.9626
222,"Aiden",239736,99.14405846431075,10.0779
223,"Victor",239634,99.43705818039177,37.7993
224,"Ian",237810,99.67705310962533,22.7248
225,"Alexandra",236762,0.35317534063743333,24.4956
226,"Ruth",236598,0.28832280915307823,62.6552
227,"Beverly",236420,0.5550207258269183,67.7789
228,"Joel",235727,99.11465381564267,37.6784
229,"Phillip",235457,99.532398697002,48.2246
230,"Gerald",235130,99.40543529111555,61.6884
231,"Lawrence",235084,99.47848428646782,58.1967
232,"Helen",231897,0.27230839553767405,66.2248
233,"Cindy",231650,0.2940388517159508,53.7362
234,"Isaiah",231074,99.7187048304872,15.541
235,"Monica",231066,0.3960232141466075,42.4833
236,"Chloe",230289,0.1481742506155309,14.095
237,"April",230250,0.2702045602605863,41.1525
238,"Paula",229896,0.31100497616313466,58.4144
239,"Walter",226737,99.39974507910046,57.1474
240,"Antonio",226562,99.26421906586278,31.3403
241,"Johnny",225452,98.93236697833684,51.7325
242,"Chad",225380,99.55719229745318,41.3532
243,"Connor",225329,99.27439433006849,16.3421
244,"Erica",225271,0.43275255137145924,35.5993
245,"Derek",223777,99.60719823753111,33.7209
246,"Leah",223316,0.20037525300471085,25.5023
247,"Willie",222230,84.86072987445439,61.9646
248,"Danny",221544,99.35633553605604,54.2245
249,"Julian",220697,98.76980656737518,17.8964
250,"Riley",219407,42.028923416299385,14.6335
251,"Marilyn",219006,0.22992338109458188,66.6815
252,"Dana",218808,18.678476106906512,47.5078
253,"Bonnie",217593,0.631991837972729,63.7925
254,"Marcus",217434,99.42419308847742,32.2497
255,"Philip",216844,99.65274575270702,51.4531
256,"Alice",216153,0.24159414858919373,54.7392
257,"Jane",215413,0.2401363891687131,60.9089
258,"Russell",215085,99.53320780156683,52.9206
259,"Jesus",214288,99.04754349286941,27.1343
260,"Alicia",214276,0.2964219044596688,37.2282
261,"Jean",213401,7.5394210898730565,67.0918
262,"Kristen",212934,0.9420383780889854,37.4573
263,"Ella",211945,0.13868928259690014,20.6079
264,"Joe",211782,97.49364912976552,58.5338
265,"Wayne",211232,99.5530980154522,60.4238
266,"Arthur",210605,99.36326298046106,54.7464
267,"Avery",209714,27.668443689977778,12.4539
268,"Billy",209132,98.62766099879502,58.5914
269,"Audrey",207219,0.5471168184384636,33.3812
270,"Amelia",206694,0.09110327343802917,15.3854
271,"Connie",206649,1.3574757196986194,63.3217
272,"Martin",205431,99.51127142446856,46.9328
273,"Jeremiah",205335,99.67467796527626,20.1826
274,"Michele",203097,1.0322407519559618,54.1558
275,"Owen",202406,99.73864411134056,13.8456
276,"Rose",202320,0.31621194147884535,56.0186
277,"Lillian",200211,0.16488504627617862,29.7356
278,"Dustin",200157,99.3305255374531,33.4153
279,"Jeffery",199984,99.4299543963517,50.1667
280,"Sheila",196914,0.24494398569934084,59.5397
281,"Jared",196826,99.61895278062858,29.8729
282,"Bobby",196328,97.06664357605639,57.4292
283,"Jimmy",196202,99.26096573939104,55.0344
284,"Katie",196039,0.1903508995659027,33.2989
285,"Sherry",195865,0.3384055344242208,59.6311
286,"Anne",195515,0.2347901695522083,54.8092
287,"Brooke",193550,0.8419633169723585,25.6065
288,"Blake",192650,91.65637165844797,21.4488
289,"Rodney",192518,99.47745145908435,53.2738
290,"Tony",192510,98.86759129395875,49.7477
291,"Frances",191963,0.7759932903736657,65.9088
292,"Holly",191765,0.42451594399395093,42.1298
293,"Carter",190939,95.79237348053566,11.7322
294,"Marie",190364,0.42052173730327164,60.5759
295,"Caroline",190167,0.12704780535003446,29.0638
296,"Ricky",187844,99.1024467111007,52.3872
297,"Oliver",187246,99.76234472298474,12.152
298,"Jill",187116,0.23128380256097822,53.5625
299,"Kim",187105,14.125223804815478,58.674
300,"Sebastian",186870,99.8073527050891,11.8376
301,"Rhonda",186179,0.26655584142142774,57.2479
302,"Wyatt",185744,99.49769575329486,12.184
303,"Veronica",185463,0.4113073766735144,41.5996
304,"Shane",184625,98.15517941773865,34.3918
305,"Peggy",184095,0.21289117031967195,68.4255
306,"Corey",183652,95.27149173436717,34.5257
307,"Wesley",183593,98.60942410658359,32.9815
308,"Troy",183273,98.86453541983816,42.6054
309,"Dale",183200,91.43176855895196,60.7457
310,"Albert",182954,99.40094231336839,55.6394
