rank,name,domain,registrar
100,Archer Daniels Midland,admworld.com,NETWORK SOLUTIONS INC.
101,AutoNation,autonation.com,NETWORK SOLUTIONS INC.
102,Qwest Communications,qwest.com,NETWORK SOLUTIONS INC.
103,FedEx,fedex.com,NETWORK SOLUTIONS INC.
104,Mass. Mutual Life Insurance,massmutual.com,NETWORK SOLUTIONS INC.
105,Pharmacia,pharmacia.com,REGISTER.COM INC.
106,FleetBoston Financial,fleet.com,REGISTER.COM INC.
107,Cigna,cigna.com,NETWORK SOLUTIONS INC.
108,AMR,amrcorp.com,NETWORK SOLUTIONS INC.
109,Loews,loews.com,NETWORK SOLUTIONS INC.
110,Solectron,solectron.com,NETWORK SOLUTIONS INC.
111,Johnson Controls,johnsoncontrols.com,NETWORK SOLUTIONS INC.
112,Sun Microsystems,sun.com,NETWORK SOLUTIONS INC.
113,HCA,hcahealthcare.com,REGISTER.COM INC.
114,Visteon,visteon.com,NETWORK SOLUTIONS INC.
115,Sara Lee,saralee.com,NETWORK SOLUTIONS INC.
116,Washington Mutual,wamu.com,NETWORK SOLUTIONS INC.
117,Tech Data,techdata.com,NETWORK SOLUTIONS INC.
118,Federated Department Stores,federated-fds.com,NETWORK SOLUTIONS INC.
119,Raytheon,raytheon.com,NETWORK SOLUTIONS INC.
120,Xerox,xerox.com,REGISTER.COM INC.
121,U.S. Bancorp,usbank.com,NETWORK SOLUTIONS INC.
122,TRW,trw.com,REGISTER.COM INC.
123,Abbott Laboratories,abbott.com,EMARKMONITOR INC. DBA MARKMONITOR
124,Northwestern Mutual,northwesternmutual.com,REGISTER.COM INC.
125,UAL,united.com,REGISTER.COM INC.
126,Minnesota Mining & Mfg.,3m.com,REGISTER.COM INC.
127,AmerisourceBergen,amerisourcebergen.net,REGISTER.COM INC.
128,Coca-Cola Enterprises,cokecce.com,NETWORK SOLUTIONS INC.
129,Fleming,fleming.com,NETWORK SOLUTIONS INC.
130,Emerson Electric,gotoemerson.com,NETWORK SOLUTIONS INC.
131,Best Buy,bestbuy.com,NETWORK SOLUTIONS INC.
132,Rite Aid,riteaid.com,NETWORK SOLUTIONS INC.
133,Publix Super Markets,publix.com,NETWORK SOLUTIONS INC.
134,Hartford Financial Services,thehartford.com,NETWORK SOLUTIONS INC.
135,Exelon,exeloncorp.com,NETWORK SOLUTIONS INC.
136,Nationwide,nationwide.com,NETWORK SOLUTIONS INC.
